id_experimento,condicao,n_tarefas_docas,n_tarefas_estoque,n_maquinas,n_caminhoes,todos_caminhoes_atrasados,todos_caminhoes_adiantados
1,Normal,17,6,14,17,False,False
2,Normal,78,19,15,27,False,False
3,Normal,52,36,34,24,False,False
4,Normal,30,27,33,16,False,False
5,Normal,54,12,35,44,False,False
6,Normal,22,5,6,18,False,False
7,Normal,32,15,37,12,False,False
8,Normal,77,5,37,39,False,False
9,Normal,45,9,38,20,False,False
10,Normal,41,33,14,23,False,False
11,Normal,34,52,48,11,False,False
12,Normal,6,6,10,6,False,False
13,Normal,39,55,43,18,False,False
14,Normal,23,11,10,19,False,False
15,Normal,20,63,45,19,False,False
16,Normal,55,13,46,48,False,False
17,Normal,43,9,16,32,False,False
18,Normal,13,8,18,12,False,False
19,Normal,23,8,27,12,False,False
20,Normal,24,16,6,20,False,False
21,Normal,38,6,44,38,False,False
22,Normal,8,6,6,7,False,False
23,Normal,39,7,27,34,False,False
24,Normal,22,13,9,11,False,False
25,Normal,68,23,9,44,False,False
26,Normal,43,21,28,17,False,False
27,Normal,20,5,7,20,False,False
28,Normal,52,8,31,42,False,False
29,Normal,5,6,7,5,False,False
30,Normal,23,6,6,22,False,False
31,Normal,41,31,27,14,False,False
32,Normal,25,7,14,22,False,False
33,Normal,25,46,6,10,False,False
34,Normal,26,59,19,12,False,False
35,Normal,83,17,20,37,False,False
36,Normal,50,11,24,32,False,False
37,Normal,9,42,41,7,False,False
38,Normal,58,20,25,22,False,False
39,Normal,80,12,38,30,False,False
40,Normal,11,8,9,5,False,False
41,Normal,44,12,21,40,False,False
42,Normal,46,33,13,8,False,False
43,Normal,42,53,31,25,False,False
44,Normal,12,26,35,9,False,False
45,Normal,56,20,48,32,False,False
46,Normal,18,47,30,5,False,False
47,Normal,27,14,14,26,False,False
48,Normal,10,8,10,9,False,False
49,Normal,40,8,39,40,False,False
50,Normal,8,8,12,7,False,False
51,Atrasado,31,9,39,27,True,False
52,Atrasado,8,58,48,7,True,False
53,Atrasado,50,48,7,31,True,False
54,Atrasado,38,13,39,11,True,False
55,Atrasado,72,9,9,26,True,False
56,Atrasado,65,6,23,38,True,False
57,Atrasado,34,18,38,28,True,False
58,Atrasado,21,10,14,10,True,False
59,Atrasado,6,5,8,6,True,False
60,Atrasado,30,32,24,23,True,False
61,Atrasado,24,12,14,22,True,False
62,Atrasado,7,6,8,6,True,False
63,Atrasado,59,37,43,43,True,False
64,Atrasado,11,5,12,11,True,False
65,Atrasado,44,20,44,9,True,False
66,Atrasado,67,5,20,28,True,False
67,Atrasado,19,19,17,16,True,False
68,Atrasado,18,25,27,17,True,False
69,Atrasado,41,6,14,40,True,False
70,Atrasado,48,20,33,43,True,False
71,Atrasado,45,8,18,24,True,False
72,Atrasado,38,10,6,35,True,False
73,Atrasado,36,5,5,32,True,False
74,Atrasado,11,14,9,10,True,False
75,Atrasado,40,20,12,15,True,False
76,Atrasado,7,13,10,6,True,False
77,Atrasado,24,21,42,15,True,False
78,Atrasado,80,12,11,45,True,False
79,Atrasado,46,12,8,33,True,False
80,Atrasado,14,5,15,9,True,False
81,Atrasado,9,6,15,6,True,False
82,Atrasado,45,11,12,37,True,False
83,Atrasado,75,5,35,46,True,False
84,Atrasado,60,25,45,21,True,False
85,Atrasado,53,11,28,33,True,False
86,Atrasado,16,5,12,9,True,False
87,Atrasado,49,25,35,32,True,False
88,Atrasado,58,33,47,6,True,False
89,Atrasado,29,6,23,22,True,False
90,Atrasado,66,21,10,41,True,False
91,Atrasado,51,25,43,27,True,False
92,Atrasado,72,5,36,13,True,False
93,Atrasado,17,6,10,14,True,False
94,Atrasado,22,8,25,11,True,False
95,Atrasado,56,32,27,16,True,False
96,Atrasado,38,45,40,10,True,False
97,Atrasado,27,5,24,27,True,False
98,Atrasado,42,57,28,28,True,False
99,Atrasado,18,9,10,6,True,False
100,Atrasado,41,53,26,41,True,False
101,Adiantado,82,16,43,12,False,True
102,Adiantado,14,7,7,6,False,True
103,Adiantado,7,5,12,6,False,True
104,Adiantado,31,8,30,31,False,True
105,Adiantado,30,23,27,19,False,True
106,Adiantado,52,20,5,45,False,True
107,Adiantado,49,19,19,26,False,True
108,Adiantado,18,6,15,8,False,True
109,Adiantado,32,18,17,30,False,True
110,Adiantado,49,37,44,33,False,True
111,Adiantado,24,7,12,22,False,True
112,Adiantado,56,8,10,22,False,True
113,Adiantado,43,19,47,43,False,True
114,Adiantado,66,9,46,8,False,True
115,Adiantado,17,49,26,13,False,True
116,Adiantado,8,7,12,7,False,True
117,Adiantado,44,10,34,17,False,True
118,Adiantado,37,6,22,35,False,True
119,Adiantado,48,42,39,40,False,True
120,Adiantado,44,36,11,37,False,True
121,Adiantado,41,18,23,30,False,True
122,Adiantado,17,30,31,16,False,True
123,Adiantado,49,8,29,49,False,True
124,Adiantado,25,11,12,19,False,True
125,Adiantado,12,5,8,10,False,True
126,Adiantado,47,38,35,24,False,True
127,Adiantado,28,20,8,24,False,True
128,Adiantado,9,23,27,7,False,True
129,Adiantado,7,5,11,6,False,True
130,Adiantado,32,24,9,25,False,True
131,Adiantado,14,6,5,13,False,True
132,Adiantado,17,23,7,15,False,True
133,Adiantado,18,61,49,18,False,True
134,Adiantado,10,6,7,8,False,True
135,Adiantado,51,40,48,5,False,True
136,Adiantado,21,14,22,8,False,True
137,Adiantado,34,50,14,32,False,True
138,Adiantado,34,36,33,34,False,True
139,Adiantado,39,56,21,35,False,True
140,Adiantado,38,36,19,13,False,True
141,Adiantado,29,60,25,16,False,True
142,Adiantado,86,8,45,48,False,True
143,Adiantado,33,65,30,7,False,True
144,Adiantado,57,21,23,49,False,True
145,Adiantado,20,9,10,19,False,True
146,Adiantado,56,10,22,15,False,True
147,Adiantado,28,13,30,26,False,True
148,Adiantado,35,10,36,35,False,True
149,Adiantado,9,16,17,6,False,True
150,Adiantado,15,13,24,12,False,True
