id_experimento,condicao,n_tarefas_docas,n_tarefas_estoque,n_maquinas,n_caminhoes,todos_caminhoes_atrasados,todos_caminhoes_adiantados
1,Normal,5,5,5,6,False,False
2,Normal,5,5,5,7,False,False
3,Normal,5,5,5,8,False,False
4,Normal,5,5,5,9,False,False
5,Normal,5,5,5,10,False,False
6,Normal,10,10,10,11,False,False
7,Normal,10,10,10,12,False,False
8,Normal,10,10,10,13,False,False
9,Normal,10,10,10,14,False,False
10,Normal,10,10,10,15,False,False
11,Normal,15,15,15,16,False,False
12,Normal,15,15,15,17,False,False
13,Normal,15,15,15,18,False,False
14,Normal,15,15,15,19,False,False
15,Normal,15,15,15,20,False,False
16,Normal,20,20,20,21,False,False
17,Normal,20,20,20,22,False,False
18,Normal,20,20,20,23,False,False
19,Normal,20,20,20,24,False,False
20,Normal,20,20,20,25,False,False
21,Normal,25,25,25,26,False,False
22,Normal,25,25,25,27,False,False
23,Normal,25,25,25,28,False,False
24,Normal,25,25,25,29,False,False
25,Normal,25,25,25,30,False,False
26,Normal,30,30,30,31,False,False
27,Normal,30,30,30,32,False,False
28,Normal,30,30,30,33,False,False
29,Normal,30,30,30,34,False,False
30,Normal,30,30,30,35,False,False
31,Atrasado,5,5,5,6,True,False
32,Atrasado,5,5,5,7,True,False
33,Atrasado,5,5,5,8,True,False
34,Atrasado,5,5,5,9,True,False
35,Atrasado,5,5,5,10,True,False
36,Atrasado,10,10,10,11,True,False
37,Atrasado,10,10,10,12,True,False
38,Atrasado,10,10,10,13,True,False
39,Atrasado,10,10,10,14,True,False
40,Atrasado,10,10,10,15,True,False
41,Atrasado,15,15,15,16,True,False
42,Atrasado,15,15,15,17,True,False
43,Atrasado,15,15,15,18,True,False
44,Atrasado,15,15,15,19,True,False
45,Atrasado,15,15,15,20,True,False
46,Atrasado,20,20,20,21,True,False
47,Atrasado,20,20,20,22,True,False
48,Atrasado,20,20,20,23,True,False
49,Atrasado,20,20,20,24,True,False
50,Atrasado,20,20,20,25,True,False
51,Atrasado,25,25,25,26,True,False
52,Atrasado,25,25,25,27,True,False
53,Atrasado,25,25,25,28,True,False
54,Atrasado,25,25,25,29,True,False
55,Atrasado,25,25,25,30,True,False
56,Atrasado,30,30,30,31,True,False
57,Atrasado,30,30,30,32,True,False
58,Atrasado,30,30,30,33,True,False
59,Atrasado,30,30,30,34,True,False
60,Atrasado,30,30,30,35,True,False
61,Adiantado,5,5,5,6,False,True
62,Adiantado,5,5,5,7,False,True
63,Adiantado,5,5,5,8,False,True
64,Adiantado,5,5,5,9,False,True
65,Adiantado,5,5,5,10,False,True
66,Adiantado,10,10,10,11,False,True
67,Adiantado,10,10,10,12,False,True
68,Adiantado,10,10,10,13,False,True
69,Adiantado,10,10,10,14,False,True
70,Adiantado,10,10,10,15,False,True
71,Adiantado,15,15,15,16,False,True
72,Adiantado,15,15,15,17,False,True
73,Adiantado,15,15,15,18,False,True
74,Adiantado,15,15,15,19,False,True
75,Adiantado,15,15,15,20,False,True
76,Adiantado,20,20,20,21,False,True
77,Adiantado,20,20,20,22,False,True
78,Adiantado,20,20,20,23,False,True
79,Adiantado,20,20,20,24,False,True
80,Adiantado,20,20,20,25,False,True
81,Adiantado,25,25,25,26,False,True
82,Adiantado,25,25,25,27,False,True
83,Adiantado,25,25,25,28,False,True
84,Adiantado,25,25,25,29,False,True
85,Adiantado,25,25,25,30,False,True
86,Adiantado,30,30,30,31,False,True
87,Adiantado,30,30,30,32,False,True
88,Adiantado,30,30,30,33,False,True
89,Adiantado,30,30,30,34,False,True
90,Adiantado,30,30,30,35,False,True
