id_experimento,condicao,n_tarefas_docas,n_tarefas_estoque,n_maquinas,n_caminhoes,todos_caminhoes_atrasados,todos_caminhoes_adiantados
1,Normal,5,5,5,5,False,False
2,Normal,6,5,5,5,False,False
3,Normal,7,5,5,5,False,False
4,Normal,8,5,5,5,False,False
5,Normal,9,5,5,5,False,False
6,Normal,10,5,5,5,False,False
7,Normal,5,6,5,5,False,False
8,Normal,5,7,5,5,False,False
9,Normal,5,8,5,5,False,False
10,Normal,5,9,5,5,False,False
11,Normal,5,10,5,5,False,False
12,Normal,5,5,6,5,False,False
13,Normal,5,5,7,5,False,False
14,Normal,5,5,8,5,False,False
15,Normal,5,5,9,5,False,False
16,Normal,5,5,10,5,False,False
17,Normal,10,10,10,10,False,False
18,Normal,11,10,10,10,False,False
19,Normal,12,10,10,10,False,False
20,Normal,13,10,10,10,False,False
21,Normal,14,10,10,10,False,False
22,Normal,15,10,10,10,False,False
23,Normal,10,11,10,10,False,False
24,Normal,10,12,10,10,False,False
25,Normal,10,13,10,10,False,False
26,Normal,10,14,10,10,False,False
27,Normal,10,15,10,10,False,False
28,Normal,10,10,11,10,False,False
29,Normal,10,10,12,10,False,False
30,Normal,10,10,13,10,False,False
31,Normal,10,10,14,10,False,False
32,Normal,10,10,15,10,False,False
33,Normal,15,15,15,15,False,False
34,Normal,16,15,15,15,False,False
35,Normal,17,15,15,15,False,False
36,Normal,18,15,15,15,False,False
37,Normal,19,15,15,15,False,False
38,Normal,20,15,15,15,False,False
39,Normal,15,16,15,15,False,False
40,Normal,15,17,15,15,False,False
41,Normal,15,18,15,15,False,False
42,Normal,15,19,15,15,False,False
43,Normal,15,20,15,15,False,False
44,Normal,15,15,16,15,False,False
45,Normal,15,15,17,15,False,False
46,Normal,15,15,18,15,False,False
47,Normal,15,15,19,15,False,False
48,Normal,15,15,20,15,False,False
49,Normal,20,20,20,20,False,False
50,Normal,21,20,20,20,False,False
51,Normal,22,20,20,20,False,False
52,Normal,23,20,20,20,False,False
53,Normal,24,20,20,20,False,False
54,Normal,25,20,20,20,False,False
55,Normal,20,21,20,20,False,False
56,Normal,20,22,20,20,False,False
57,Normal,20,23,20,20,False,False
58,Normal,20,24,20,20,False,False
59,Normal,20,25,20,20,False,False
60,Normal,20,20,21,20,False,False
61,Normal,20,20,22,20,False,False
62,Normal,20,20,23,20,False,False
63,Normal,20,20,24,20,False,False
64,Normal,20,20,25,20,False,False
65,Normal,25,25,25,25,False,False
66,Normal,26,25,25,25,False,False
67,Normal,27,25,25,25,False,False
68,Normal,28,25,25,25,False,False
69,Normal,29,25,25,25,False,False
70,Normal,30,25,25,25,False,False
71,Normal,25,26,25,25,False,False
72,Normal,25,27,25,25,False,False
73,Normal,25,28,25,25,False,False
74,Normal,25,29,25,25,False,False
75,Normal,25,30,25,25,False,False
76,Normal,25,25,26,25,False,False
77,Normal,25,25,27,25,False,False
78,Normal,25,25,28,25,False,False
79,Normal,25,25,29,25,False,False
80,Normal,25,25,30,25,False,False
81,Atrasado,5,5,5,5,True,False
82,Atrasado,6,5,5,5,True,False
83,Atrasado,7,5,5,5,True,False
84,Atrasado,8,5,5,5,True,False
85,Atrasado,9,5,5,5,True,False
86,Atrasado,10,5,5,5,True,False
87,Atrasado,5,6,5,5,True,False
88,Atrasado,5,7,5,5,True,False
89,Atrasado,5,8,5,5,True,False
90,Atrasado,5,9,5,5,True,False
91,Atrasado,5,10,5,5,True,False
92,Atrasado,5,5,6,5,True,False
93,Atrasado,5,5,7,5,True,False
94,Atrasado,5,5,8,5,True,False
95,Atrasado,5,5,9,5,True,False
96,Atrasado,5,5,10,5,True,False
97,Atrasado,10,10,10,10,True,False
98,Atrasado,11,10,10,10,True,False
99,Atrasado,12,10,10,10,True,False
100,Atrasado,13,10,10,10,True,False
101,Atrasado,14,10,10,10,True,False
102,Atrasado,15,10,10,10,True,False
103,Atrasado,10,11,10,10,True,False
104,Atrasado,10,12,10,10,True,False
105,Atrasado,10,13,10,10,True,False
106,Atrasado,10,14,10,10,True,False
107,Atrasado,10,15,10,10,True,False
108,Atrasado,10,10,11,10,True,False
109,Atrasado,10,10,12,10,True,False
110,Atrasado,10,10,13,10,True,False
111,Atrasado,10,10,14,10,True,False
112,Atrasado,10,10,15,10,True,False
113,Atrasado,15,15,15,15,True,False
114,Atrasado,16,15,15,15,True,False
115,Atrasado,17,15,15,15,True,False
116,Atrasado,18,15,15,15,True,False
117,Atrasado,19,15,15,15,True,False
118,Atrasado,20,15,15,15,True,False
119,Atrasado,15,16,15,15,True,False
120,Atrasado,15,17,15,15,True,False
121,Atrasado,15,18,15,15,True,False
122,Atrasado,15,19,15,15,True,False
123,Atrasado,15,20,15,15,True,False
124,Atrasado,15,15,16,15,True,False
125,Atrasado,15,15,17,15,True,False
126,Atrasado,15,15,18,15,True,False
127,Atrasado,15,15,19,15,True,False
128,Atrasado,15,15,20,15,True,False
129,Atrasado,20,20,20,20,True,False
130,Atrasado,21,20,20,20,True,False
131,Atrasado,22,20,20,20,True,False
132,Atrasado,23,20,20,20,True,False
133,Atrasado,24,20,20,20,True,False
134,Atrasado,25,20,20,20,True,False
135,Atrasado,20,21,20,20,True,False
136,Atrasado,20,22,20,20,True,False
137,Atrasado,20,23,20,20,True,False
138,Atrasado,20,24,20,20,True,False
139,Atrasado,20,25,20,20,True,False
140,Atrasado,20,20,21,20,True,False
141,Atrasado,20,20,22,20,True,False
142,Atrasado,20,20,23,20,True,False
143,Atrasado,20,20,24,20,True,False
144,Atrasado,20,20,25,20,True,False
145,Atrasado,25,25,25,25,True,False
146,Atrasado,26,25,25,25,True,False
147,Atrasado,27,25,25,25,True,False
148,Atrasado,28,25,25,25,True,False
149,Atrasado,29,25,25,25,True,False
150,Atrasado,30,25,25,25,True,False
151,Atrasado,25,26,25,25,True,False
152,Atrasado,25,27,25,25,True,False
153,Atrasado,25,28,25,25,True,False
154,Atrasado,25,29,25,25,True,False
155,Atrasado,25,30,25,25,True,False
156,Atrasado,25,25,26,25,True,False
157,Atrasado,25,25,27,25,True,False
158,Atrasado,25,25,28,25,True,False
159,Atrasado,25,25,29,25,True,False
160,Atrasado,25,25,30,25,True,False
161,Adiantado,5,5,5,5,False,True
162,Adiantado,6,5,5,5,False,True
163,Adiantado,7,5,5,5,False,True
164,Adiantado,8,5,5,5,False,True
165,Adiantado,9,5,5,5,False,True
166,Adiantado,10,5,5,5,False,True
167,Adiantado,5,6,5,5,False,True
168,Adiantado,5,7,5,5,False,True
169,Adiantado,5,8,5,5,False,True
170,Adiantado,5,9,5,5,False,True
171,Adiantado,5,10,5,5,False,True
172,Adiantado,5,5,6,5,False,True
173,Adiantado,5,5,7,5,False,True
174,Adiantado,5,5,8,5,False,True
175,Adiantado,5,5,9,5,False,True
176,Adiantado,5,5,10,5,False,True
177,Adiantado,10,10,10,10,False,True
178,Adiantado,11,10,10,10,False,True
179,Adiantado,12,10,10,10,False,True
180,Adiantado,13,10,10,10,False,True
181,Adiantado,14,10,10,10,False,True
182,Adiantado,15,10,10,10,False,True
183,Adiantado,10,11,10,10,False,True
184,Adiantado,10,12,10,10,False,True
185,Adiantado,10,13,10,10,False,True
186,Adiantado,10,14,10,10,False,True
187,Adiantado,10,15,10,10,False,True
188,Adiantado,10,10,11,10,False,True
189,Adiantado,10,10,12,10,False,True
190,Adiantado,10,10,13,10,False,True
191,Adiantado,10,10,14,10,False,True
192,Adiantado,10,10,15,10,False,True
193,Adiantado,15,15,15,15,False,True
194,Adiantado,16,15,15,15,False,True
195,Adiantado,17,15,15,15,False,True
196,Adiantado,18,15,15,15,False,True
197,Adiantado,19,15,15,15,False,True
198,Adiantado,20,15,15,15,False,True
199,Adiantado,15,16,15,15,False,True
200,Adiantado,15,17,15,15,False,True
201,Adiantado,15,18,15,15,False,True
202,Adiantado,15,19,15,15,False,True
203,Adiantado,15,20,15,15,False,True
204,Adiantado,15,15,16,15,False,True
205,Adiantado,15,15,17,15,False,True
206,Adiantado,15,15,18,15,False,True
207,Adiantado,15,15,19,15,False,True
208,Adiantado,15,15,20,15,False,True
209,Adiantado,20,20,20,20,False,True
210,Adiantado,21,20,20,20,False,True
211,Adiantado,22,20,20,20,False,True
212,Adiantado,23,20,20,20,False,True
213,Adiantado,24,20,20,20,False,True
214,Adiantado,25,20,20,20,False,True
215,Adiantado,20,21,20,20,False,True
216,Adiantado,20,22,20,20,False,True
217,Adiantado,20,23,20,20,False,True
218,Adiantado,20,24,20,20,False,True
219,Adiantado,20,25,20,20,False,True
220,Adiantado,20,20,21,20,False,True
221,Adiantado,20,20,22,20,False,True
222,Adiantado,20,20,23,20,False,True
223,Adiantado,20,20,24,20,False,True
224,Adiantado,20,20,25,20,False,True
225,Adiantado,25,25,25,25,False,True
226,Adiantado,26,25,25,25,False,True
227,Adiantado,27,25,25,25,False,True
228,Adiantado,28,25,25,25,False,True
229,Adiantado,29,25,25,25,False,True
230,Adiantado,30,25,25,25,False,True
231,Adiantado,25,26,25,25,False,True
232,Adiantado,25,27,25,25,False,True
233,Adiantado,25,28,25,25,False,True
234,Adiantado,25,29,25,25,False,True
235,Adiantado,25,30,25,25,False,True
236,Adiantado,25,25,26,25,False,True
237,Adiantado,25,25,27,25,False,True
238,Adiantado,25,25,28,25,False,True
239,Adiantado,25,25,29,25,False,True
240,Adiantado,25,25,30,25,False,True
